Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
Norway,Eliteserien,2024,14/04/2024,18:00,Molde,Brann,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,15/04/2024,18:00,Molde,Viking,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,16/04/2024,18:00,Molde,Lillestrom,3,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,17/04/2024,18:00,Molde,Valerenga,3,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,18/04/2024,18:00,Molde,Sarpsborg 08,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,19/04/2024,18:00,Molde,Hamkam,3,2,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,20/04/2024,18:00,Molde,Kristiansund,4,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,21/04/2024,18:00,Molde,Sandefjord,3,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,22/04/2024,18:00,Molde,KFUM Oslo,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,23/04/2024,18:00,Rosenborg,Bodo/Glimt,0,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,24/04/2024,18:00,Rosenborg,Molde,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,25/04/2024,18:00,Rosenborg,Brann,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,26/04/2024,18:00,Rosenborg,Viking,2,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,27/04/2024,18:00,Rosenborg,Lillestrom,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,28/04/2024,18:00,Rosenborg,Valerenga,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,29/04/2024,18:00,Rosenborg,Sarpsborg 08,4,2,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,30/04/2024,18:00,Rosenborg,Hamkam,1,4,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,01/05/2024,18:00,Rosenborg,Kristiansund,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,02/05/2024,18:00,Rosenborg,Sandefjord,1,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,03/05/2024,18:00,Rosenborg,KFUM Oslo,3,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,04/05/2024,18:00,Brann,Bodo/Glimt,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,05/05/2024,18:00,Brann,Molde,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,06/05/2024,18:00,Brann,Rosenborg,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,07/05/2024,18:00,Brann,Viking,2,2,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,08/05/2024,18:00,Brann,Lillestrom,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,09/05/2024,18:00,Brann,Valerenga,0,3,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,10/05/2024,18:00,Brann,Sarpsborg 08,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,11/05/2024,18:00,Brann,Hamkam,4,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,12/05/2024,18:00,Brann,Kristiansund,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,13/05/2024,18:00,Brann,Sandefjord,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,14/05/2024,18:00,Brann,KFUM Oslo,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,15/05/2024,18:00,Viking,Bodo/Glimt,0,1,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,16/05/2024,18:00,Viking,Molde,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,17/05/2024,18:00,Viking,Rosenborg,0,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,18/05/2024,18:00,Viking,Brann,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,19/05/2024,18:00,Viking,Lillestrom,0,1,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,20/05/2024,18:00,Viking,Valerenga,1,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,21/05/2024,18:00,Viking,Sarpsborg 08,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,22/05/2024,18:00,Viking,Hamkam,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,23/05/2024,18:00,Viking,Kristiansund,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,24/05/2024,18:00,Viking,Sandefjord,0,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,25/05/2024,18:00,Viking,KFUM Oslo,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,26/05/2024,18:00,Lillestrom,Bodo/Glimt,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,27/05/2024,18:00,Lillestrom,Molde,3,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,28/05/2024,18:00,Lillestrom,Rosenborg,1,4,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,29/05/2024,18:00,Lillestrom,Brann,4,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,30/05/2024,18:00,Lillestrom,Viking,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,31/05/2024,18:00,Lillestrom,Valerenga,1,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,01/06/2024,18:00,Lillestrom,Sarpsborg 08,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,02/06/2024,18:00,Lillestrom,Hamkam,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,03/06/2024,18:00,Lillestrom,Kristiansund,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,04/06/2024,18:00,Lillestrom,Sandefjord,1,5,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,05/06/2024,18:00,Lillestrom,KFUM Oslo,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,06/06/2024,18:00,Valerenga,Bodo/Glimt,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,07/06/2024,18:00,Valerenga,Molde,2,2,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,08/06/2024,18:00,Valerenga,Rosenborg,0,3,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,09/06/2024,18:00,Valerenga,Brann,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,10/06/2024,18:00,Valerenga,Viking,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,11/06/2024,18:00,Valerenga,Lillestrom,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,12/06/2024,18:00,Valerenga,Sarpsborg 08,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,13/06/2024,18:00,Valerenga,Hamkam,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,14/06/2024,18:00,Valerenga,Kristiansund,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,15/06/2024,18:00,Valerenga,Sandefjord,4,2,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,16/06/2024,18:00,Valerenga,KFUM Oslo,5,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,17/06/2024,18:00,Sarpsborg 08,Bodo/Glimt,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,18/06/2024,18:00,Sarpsborg 08,Molde,2,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,19/06/2024,18:00,Sarpsborg 08,Rosenborg,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,20/06/2024,18:00,Sarpsborg 08,Brann,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,21/06/2024,18:00,Sarpsborg 08,Viking,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,22/06/2024,18:00,Sarpsborg 08,Lillestrom,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,23/06/2024,18:00,Sarpsborg 08,Valerenga,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,24/06/2024,18:00,Sarpsborg 08,Hamkam,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,25/06/2024,18:00,Sarpsborg 08,Kristiansund,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,26/06/2024,18:00,Sarpsborg 08,Sandefjord,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,27/06/2024,18:00,Sarpsborg 08,KFUM Oslo,2,2,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,28/06/2024,18:00,Hamkam,Bodo/Glimt,2,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,29/06/2024,18:00,Hamkam,Molde,1,4,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,30/06/2024,18:00,Hamkam,Rosenborg,4,2,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,01/07/2024,18:00,Hamkam,Brann,3,2,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,02/07/2024,18:00,Hamkam,Viking,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,03/07/2024,18:00,Hamkam,Lillestrom,2,2,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,04/07/2024,18:00,Hamkam,Valerenga,3,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,05/07/2024,18:00,Hamkam,Sarpsborg 08,2,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,06/07/2024,18:00,Hamkam,Kristiansund,4,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,07/07/2024,18:00,Hamkam,Sandefjord,3,4,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,08/07/2024,18:00,Hamkam,KFUM Oslo,4,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,09/07/2024,18:00,Kristiansund,Bodo/Glimt,1,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,10/07/2024,18:00,Kristiansund,Molde,3,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,11/07/2024,18:00,Kristiansund,Rosenborg,0,1,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,12/07/2024,18:00,Kristiansund,Brann,0,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,13/07/2024,18:00,Kristiansund,Viking,0,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,14/07/2024,18:00,Kristiansund,Lillestrom,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,15/07/2024,18:00,Kristiansund,Valerenga,0,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,16/07/2024,18:00,Kristiansund,Sarpsborg 08,0,1,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,17/07/2024,18:00,Kristiansund,Hamkam,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,18/07/2024,18:00,Kristiansund,Sandefjord,2,3,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,19/07/2024,18:00,Kristiansund,KFUM Oslo,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,20/07/2024,18:00,Sandefjord,Bodo/Glimt,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,21/07/2024,18:00,Sandefjord,Molde,7,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,22/07/2024,18:00,Sandefjord,Rosenborg,4,4,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,23/07/2024,18:00,Sandefjord,Brann,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,24/07/2024,18:00,Sandefjord,Viking,3,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,25/07/2024,18:00,Sandefjord,Lillestrom,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,26/07/2024,18:00,Sandefjord,Valerenga,4,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,27/07/2024,18:00,Sandefjord,Sarpsborg 08,2,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,28/07/2024,18:00,Sandefjord,Hamkam,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,29/07/2024,18:00,Sandefjord,Kristiansund,4,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,30/07/2024,18:00,Sandefjord,KFUM Oslo,7,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,31/07/2024,18:00,KFUM Oslo,Bodo/Glimt,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,01/08/2024,18:00,KFUM Oslo,Molde,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,02/08/2024,18:00,KFUM Oslo,Rosenborg,1,6,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,03/08/2024,18:00,KFUM Oslo,Brann,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,04/08/2024,18:00,KFUM Oslo,Viking,1,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,05/08/2024,18:00,KFUM Oslo,Lillestrom,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,06/08/2024,18:00,KFUM Oslo,Valerenga,0,1,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,07/08/2024,18:00,KFUM Oslo,Sarpsborg 08,1,1,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,08/08/2024,18:00,KFUM Oslo,Hamkam,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,09/08/2024,18:00,KFUM Oslo,Kristiansund,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,10/08/2024,18:00,KFUM Oslo,Sandefjord,0,1,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,11/08/2024,18:00,Bodo/Glimt,Molde,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,12/08/2024,18:00,Bodo/Glimt,Rosenborg,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,13/08/2024,18:00,Bodo/Glimt,Brann,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,14/08/2024,18:00,Bodo/Glimt,Viking,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,15/08/2024,18:00,Bodo/Glimt,Lillestrom,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,16/08/2024,18:00,Bodo/Glimt,Valerenga,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,17/08/2024,18:00,Bodo/Glimt,Sarpsborg 08,2,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,18/08/2024,18:00,Bodo/Glimt,Hamkam,1,3,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,19/08/2024,18:00,Bodo/Glimt,Kristiansund,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,20/08/2024,18:00,Bodo/Glimt,Sandefjord,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
