Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5
T1,19/11/2022,Alanyaspor,Antalyaspor,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,20/11/2022,Alanyaspor,Kayserispor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,21/11/2022,Alanyaspor,Rizespor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,22/11/2022,Alanyaspor,Gaziantep,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,23/11/2022,Rizespor,Fenerbahce,2,3,A,2.1,3.4,3.3,1.9,1.9
T1,24/11/2022,Rizespor,Galatasaray,3,2,H,2.1,3.4,3.3,1.9,1.9
T1,25/11/2022,Rizespor,Besiktas,1,5,A,2.1,3.4,3.3,1.9,1.9
T1,26/11/2022,Rizespor,Trabzonspor,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,27/11/2022,Rizespor,Basaksehir,5,0,H,2.1,3.4,3.3,1.9,1.9
T1,28/11/2022,Rizespor,Sivasspor,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,29/11/2022,Rizespor,Konyaspor,3,3,D,2.1,3.4,3.3,1.9,1.9
T1,30/11/2022,Rizespor,Antalyaspor,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,01/12/2022,Rizespor,Kayserispor,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,02/12/2022,Rizespor,Alanyaspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,03/12/2022,Rizespor,Gaziantep,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,04/12/2022,Gaziantep,Fenerbahce,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,05/12/2022,Gaziantep,Galatasaray,3,2,H,2.1,3.4,3.3,1.9,1.9
T1,06/12/2022,Gaziantep,Besiktas,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,07/12/2022,Gaziantep,Trabzonspor,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,08/12/2022,Gaziantep,Basaksehir,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,09/12/2022,Gaziantep,Sivasspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,10/12/2022,Gaziantep,Konyaspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,11/12/2022,Gaziantep,Antalyaspor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,12/12/2022,Gaziantep,Kayserispor,4,0,H,2.1,3.4,3.3,1.9,1.9
T1,13/12/2022,Gaziantep,Alanyaspor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,14/12/2022,Gaziantep,Rizespor,1,3,A,2.1,3.4,3.3,1.9,1.9
T1,15/12/2022,Fenerbahce,Galatasaray,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,16/12/2022,Fenerbahce,Besiktas,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,17/12/2022,Fenerbahce,Trabzonspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,18/12/2022,Fenerbahce,Basaksehir,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,19/12/2022,Fenerbahce,Sivasspor,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,20/12/2022,Fenerbahce,Konyaspor,5,1,H,2.1,3.4,3.3,1.9,1.9
T1,21/12/2022,Fenerbahce,Antalyaspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,22/12/2022,Fenerbahce,Kayserispor,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,23/12/2022,Fenerbahce,Alanyaspor,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,24/12/2022,Fenerbahce,Rizespor,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,25/12/2022,Fenerbahce,Gaziantep,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,26/12/2022,Galatasaray,Fenerbahce,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,27/12/2022,Galatasaray,Besiktas,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,28/12/2022,Galatasaray,Trabzonspor,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,29/12/2022,Galatasaray,Basaksehir,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,30/12/2022,Galatasaray,Sivasspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,31/12/2022,Galatasaray,Konyaspor,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,01/01/2023,Galatasaray,Antalyaspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,02/01/2023,Galatasaray,Kayserispor,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,03/01/2023,Galatasaray,Alanyaspor,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,04/01/2023,Galatasaray,Rizespor,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,05/01/2023,Galatasaray,Gaziantep,0,3,A,2.1,3.4,3.3,1.9,1.9
T1,06/01/2023,Besiktas,Fenerbahce,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,07/01/2023,Besiktas,Galatasaray,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,08/01/2023,Besiktas,Trabzonspor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,09/01/2023,Besiktas,Basaksehir,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,10/01/2023,Besiktas,Sivasspor,4,1,H,2.1,3.4,3.3,1.9,1.9
T1,11/01/2023,Besiktas,Konyaspor,4,2,H,2.1,3.4,3.3,1.9,1.9
T1,12/01/2023,Besiktas,Antalyaspor,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,13/01/2023,Besiktas,Kayserispor,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,14/01/2023,Besiktas,Alanyaspor,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,15/01/2023,Besiktas,Rizespor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,16/01/2023,Besiktas,Gaziantep,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,17/01/2023,Trabzonspor,Fenerbahce,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,18/01/2023,Trabzonspor,Galatasaray,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,19/01/2023,Trabzonspor,Besiktas,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,20/01/2023,Trabzonspor,Basaksehir,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,21/01/2023,Trabzonspor,Sivasspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,22/01/2023,Trabzonspor,Konyaspor,2,3,A,2.1,3.4,3.3,1.9,1.9
T1,23/01/2023,Trabzonspor,Antalyaspor,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,24/01/2023,Trabzonspor,Kayserispor,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,25/01/2023,Trabzonspor,Alanyaspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,26/01/2023,Trabzonspor,Rizespor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,27/01/2023,Trabzonspor,Gaziantep,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,28/01/2023,Basaksehir,Fenerbahce,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,29/01/2023,Basaksehir,Galatasaray,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,30/01/2023,Basaksehir,Besiktas,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,31/01/2023,Basaksehir,Trabzonspor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,01/02/2023,Basaksehir,Sivasspor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,02/02/2023,Basaksehir,Konyaspor,1,3,A,2.1,3.4,3.3,1.9,1.9
T1,03/02/2023,Basaksehir,Antalyaspor,0,4,A,2.1,3.4,3.3,1.9,1.9
T1,04/02/2023,Basaksehir,Kayserispor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,05/02/2023,Basaksehir,Alanyaspor,0,3,A,2.1,3.4,3.3,1.9,1.9
T1,06/02/2023,Basaksehir,Rizespor,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,07/02/2023,Basaksehir,Gaziantep,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,08/02/2023,Sivasspor,Fenerbahce,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,09/02/2023,Sivasspor,Galatasaray,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,10/02/2023,Sivasspor,Besiktas,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,11/02/2023,Sivasspor,Trabzonspor,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,12/02/2023,Sivasspor,Basaksehir,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,13/02/2023,Sivasspor,Konyaspor,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,14/02/2023,Sivasspor,Antalyaspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,15/02/2023,Sivasspor,Kayserispor,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,16/02/2023,Sivasspor,Alanyaspor,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,17/02/2023,Sivasspor,Rizespor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,18/02/2023,Sivasspor,Gaziantep,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,19/02/2023,Konyaspor,Fenerbahce,3,3,D,2.1,3.4,3.3,1.9,1.9
T1,20/02/2023,Konyaspor,Galatasaray,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,21/02/2023,Konyaspor,Besiktas,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,22/02/2023,Konyaspor,Trabzonspor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,23/02/2023,Konyaspor,Basaksehir,5,1,H,2.1,3.4,3.3,1.9,1.9
T1,24/02/2023,Konyaspor,Sivasspor,4,1,H,2.1,3.4,3.3,1.9,1.9
T1,25/02/2023,Konyaspor,Antalyaspor,0,3,A,2.1,3.4,3.3,1.9,1.9
T1,26/02/2023,Konyaspor,Kayserispor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,27/02/2023,Konyaspor,Alanyaspor,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,28/02/2023,Konyaspor,Rizespor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,01/03/2023,Konyaspor,Gaziantep,2,3,A,2.1,3.4,3.3,1.9,1.9
T1,02/03/2023,Antalyaspor,Fenerbahce,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,03/03/2023,Antalyaspor,Galatasaray,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,04/03/2023,Antalyaspor,Besiktas,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,05/03/2023,Antalyaspor,Trabzonspor,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,06/03/2023,Antalyaspor,Basaksehir,4,1,H,2.1,3.4,3.3,1.9,1.9
T1,07/03/2023,Antalyaspor,Sivasspor,3,2,H,2.1,3.4,3.3,1.9,1.9
T1,08/03/2023,Antalyaspor,Konyaspor,6,3,H,2.1,3.4,3.3,1.9,1.9
T1,09/03/2023,Antalyaspor,Kayserispor,4,1,H,2.1,3.4,3.3,1.9,1.9
T1,10/03/2023,Antalyaspor,Alanyaspor,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,11/03/2023,Antalyaspor,Rizespor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,12/03/2023,Antalyaspor,Gaziantep,1,3,A,2.1,3.4,3.3,1.9,1.9
T1,13/03/2023,Kayserispor,Fenerbahce,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,14/03/2023,Kayserispor,Galatasaray,2,3,A,2.1,3.4,3.3,1.9,1.9
T1,15/03/2023,Kayserispor,Besiktas,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,16/03/2023,Kayserispor,Trabzonspor,1,3,A,2.1,3.4,3.3,1.9,1.9
T1,17/03/2023,Kayserispor,Basaksehir,4,5,A,2.1,3.4,3.3,1.9,1.9
T1,18/03/2023,Kayserispor,Sivasspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,19/03/2023,Kayserispor,Konyaspor,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,20/03/2023,Kayserispor,Antalyaspor,0,5,A,2.1,3.4,3.3,1.9,1.9
T1,21/03/2023,Kayserispor,Alanyaspor,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,22/03/2023,Kayserispor,Rizespor,3,2,H,2.1,3.4,3.3,1.9,1.9
T1,23/03/2023,Kayserispor,Gaziantep,2,4,A,2.1,3.4,3.3,1.9,1.9
T1,24/03/2023,Alanyaspor,Fenerbahce,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,25/03/2023,Alanyaspor,Galatasaray,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,26/03/2023,Alanyaspor,Besiktas,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,27/03/2023,Alanyaspor,Trabzonspor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,28/03/2023,Alanyaspor,Basaksehir,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,29/03/2023,Alanyaspor,Sivasspor,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,30/03/2023,Alanyaspor,Konyaspor,3,2,H,2.1,3.4,3.3,1.9,1.9
T1,31/03/2023,Alanyaspor,Antalyaspor,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,01/04/2023,Alanyaspor,Kayserispor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,02/04/2023,Alanyaspor,Rizespor,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,03/04/2023,Alanyaspor,Gaziantep,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,04/04/2023,Rizespor,Fenerbahce,6,0,H,2.1,3.4,3.3,1.9,1.9
T1,05/04/2023,Rizespor,Galatasaray,1,3,A,2.1,3.4,3.3,1.9,1.9
T1,06/04/2023,Rizespor,Besiktas,4,1,H,2.1,3.4,3.3,1.9,1.9
T1,07/04/2023,Rizespor,Trabzonspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,08/04/2023,Rizespor,Basaksehir,4,0,H,2.1,3.4,3.3,1.9,1.9
T1,09/04/2023,Rizespor,Sivasspor,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,10/04/2023,Rizespor,Konyaspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,11/04/2023,Rizespor,Antalyaspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,12/04/2023,Rizespor,Kayserispor,3,3,D,2.1,3.4,3.3,1.9,1.9
T1,13/04/2023,Rizespor,Alanyaspor,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,14/04/2023,Rizespor,Gaziantep,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,15/04/2023,Gaziantep,Fenerbahce,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,16/04/2023,Gaziantep,Galatasaray,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,17/04/2023,Gaziantep,Besiktas,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,18/04/2023,Gaziantep,Trabzonspor,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,19/04/2023,Gaziantep,Basaksehir,4,3,H,2.1,3.4,3.3,1.9,1.9
T1,20/04/2023,Gaziantep,Sivasspor,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,21/04/2023,Gaziantep,Konyaspor,2,3,A,2.1,3.4,3.3,1.9,1.9
T1,22/04/2023,Gaziantep,Antalyaspor,1,3,A,2.1,3.4,3.3,1.9,1.9
T1,23/04/2023,Gaziantep,Kayserispor,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,24/04/2023,Gaziantep,Alanyaspor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,25/04/2023,Gaziantep,Rizespor,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,04/08/2023,Fenerbahce,Galatasaray,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,05/08/2023,Fenerbahce,Besiktas,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,06/08/2023,Fenerbahce,Trabzonspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,07/08/2023,Fenerbahce,Basaksehir,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,08/08/2023,Fenerbahce,Sivasspor,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,09/08/2023,Fenerbahce,Konyaspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,10/08/2023,Fenerbahce,Antalyaspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,11/08/2023,Fenerbahce,Kayserispor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,12/08/2023,Fenerbahce,Alanyaspor,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,13/08/2023,Fenerbahce,Rizespor,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,14/08/2023,Fenerbahce,Gaziantep,0,5,A,2.1,3.4,3.3,1.9,1.9
